t, aX, aY, aZ, gX, gY, gZ
0.6733, -0.88, -0.07, 0.49, 1.95, 4.82, 9.33
0.6767, -0.88, -0.07, 0.50, 2.13, 5.24, 10.00
0.6800, -0.87, -0.08, 0.50, 2.20, 5.55, 10.61
0.6833, -0.88, -0.07, 0.49, 2.01, 6.22, 11.34
0.6867, -0.87, -0.08, 0.49, 1.65, 6.77, 12.20
0.6900, -0.86, -0.06, 0.48, 1.04, 7.38, 12.87
0.6933, -0.89, -0.09, 0.49, 0.24, 8.11, 13.78
0.6967, -0.88, -0.08, 0.49, -0.67, 9.02, 14.57
0.7000, -0.88, -0.10, 0.50, -1.65, 9.57, 15.37
0.7033, -0.88, -0.09, 0.49, -2.74, 10.49, 15.73
0.7067, -0.87, -0.09, 0.47, -3.66, 11.59, 16.28
0.7100, -0.87, -0.08, 0.48, -4.57, 12.56, 16.52
0.7133, -0.86, -0.08, 0.49, -5.37, 13.60, 16.52
0.7167, -0.86, -0.08, 0.48, -5.98, 14.70, 16.46
0.7200, -0.85, -0.08, 0.46, -6.83, 15.79, 16.40
0.7233, -0.87, -0.07, 0.46, -7.20, 16.89, 16.65
0.7267, -0.87, -0.07, 0.47, -7.32, 17.80, 16.89
0.7300, -0.87, -0.09, 0.45, -7.56, 18.66, 17.32
0.7333, -0.88, -0.08, 0.47, -7.68, 19.15, 17.74
0.7367, -0.89, -0.06, 0.47, -7.74, 19.70, 18.54
0.7400, -0.87, -0.06, 0.45, -7.62, 20.00, 19.39
0.7433, -0.88, -0.06, 0.47, -7.62, 20.37, 20.30
0.7467, -0.87, -0.06, 0.44, -7.50, 20.91, 21.22
0.7500, -0.89, -0.05, 0.46, -7.50, 21.71, 22.26
0.7533, -0.85, -0.05, 0.45, -7.56, 22.80, 23.29
0.7567, -0.88, -0.06, 0.43, -7.62, 24.21, 24.15
0.7600, -0.87, -0.04, 0.46, -7.62, 25.43, 24.88
0.7633, -0.85, -0.04, 0.45, -7.93, 26.59, 25.12
0.7667, -0.87, -0.04, 0.46, -8.17, 27.93, 25.37
0.7700, -0.86, -0.03, 0.44, -8.66, 28.96, 25.18
0.7733, -0.86, -0.01, 0.45, -9.27, 29.82, 24.82
0.7767, -0.85, -0.01, 0.43, -10.30, 30.55, 24.27
0.7800, -0.86, -0.00, 0.44, -11.28, 31.10, 23.48
0.7833, -0.85, 0.01, 0.44, -12.50, 31.65, 22.32
0.7867, -0.87, 0.00, 0.43, -13.78, 31.52, 21.22
0.7900, -0.87, -0.00, 0.43, -15.24, 31.46, 19.94
0.7933, -0.88, -0.00, 0.42, -16.65, 30.98, 18.66
0.7967, -0.89, 0.00, 0.42, -17.80, 30.43, 17.26
0.8000, -0.75, 0.23, 0.23, -4.33, 48.90, -5.37
0.8033, -0.84, 0.22, 0.39, -5.98, 51.28, -8.41
0.8067, -0.71, 0.17, 0.26, -7.56, 55.30, -11.46
0.8100, -0.78, 0.20, 0.28, -9.27, 59.88, -14.57
0.8133, -0.79, 0.33, 0.39, -11.16, 64.21, -17.56
0.8167, -0.76, 0.29, 0.27, -13.11, 68.48, -19.94
0.8200, -0.95, 0.23, 0.44, -15.55, 70.79, -21.89
0.8233, -0.91, 0.19, 0.40, -17.32, 73.17, -22.80
0.8267, -0.96, 0.24, 0.42, -18.60, 74.27, -23.60
0.8300, -0.94, 0.22, 0.35, -19.45, 75.43, -23.60
0.8333, -0.96, 0.25, 0.32, -20.24, 75.30, -23.05
0.8367, -1.25, 0.17, 0.26, -21.77, 74.02, -22.44
0.8400, -1.44, 0.32, 0.35, -23.35, 70.91, -19.45
0.8433, -2.00, -0.01, 0.68, -24.39, 63.60, -13.23
0.8467, -1.78, 0.27, 0.73, -20.30, 47.50, -3.96
0.8500, -1.63, 0.02, 0.21, -15.61, 17.56, 5.79
0.8533, -1.33, 0.16, 0.27, -16.04, -3.60, 17.56
0.8567, -1.05, 0.26, 0.29, -17.93, -4.02, 27.93
0.8600, -1.39, -0.01, 0.61, -15.79, -6.28, 33.96
0.8633, -0.86, 0.07, 0.26, -13.72, -7.32, 36.34
0.8667, -1.04, 0.07, 0.48, -14.57, -10.18, 36.22
0.8700, -1.04, 0.02, 0.40, -13.72, -6.65, 37.26
0.8733, -0.97, 0.06, 0.23, -8.96, -6.40, 36.52
0.8767, -1.09, 0.11, 0.29, -5.73, -5.12, 36.59
0.8800, -1.13, -0.01, 0.46, -6.46, -3.72, 38.54
0.8833, -1.03, 0.11, 0.30, -6.95, -3.48, 42.32
0.8867, -1.03, 0.18, 0.25, -5.12, -6.77, 45.06
0.8900, -1.01, 0.01, 0.22, -6.16, -8.78, 47.93
0.8933, -0.94, 0.06, 0.26, -8.11, -8.90, 49.51
0.8967, -0.86, 0.09, 0.32, -7.99, -9.33, 48.17
0.9000, -0.83, 0.07, 0.28, -7.26, -9.15, 46.95
0.9033, -0.87, 0.14, 0.30, -5.37, -6.59, 45.85
0.9067, -0.86, 0.24, 0.22, -2.93, -4.45, 43.72
0.9100, -0.88, 0.26, 0.17, -1.10, -2.26, 40.18
0.9133, -0.95, 0.17, 0.26, -1.28, -1.77, 37.50
0.9167, -0.95, 0.24, 0.26, -2.07, -2.01, 34.02
0.9200, -0.95, 0.24, 0.25, -1.59, -3.35, 30.24
0.9233, -1.00, 0.21, 0.29, -1.04, -4.33, 26.52
0.9267, -1.01, 0.21, 0.24, -0.49, -5.43, 23.60
0.9300, -0.95, 0.13, 0.24, -0.24, -6.04, 20.91
0.9333, -1.04, 0.15, 0.32, -0.18, -7.01, 18.11
0.9367, -0.97, 0.14, 0.26, -0.61, -7.38, 15.73
0.9400, -0.99, 0.14, 0.30, -0.55, -7.01, 13.29
0.9433, -1.02, 0.10, 0.27, -0.61, -6.22, 11.34
0.9467, -1.06, 0.13, 0.32, -1.04, -3.72, 10.18
0.9500, -1.02, 0.11, 0.35, -1.10, -2.44, 9.45
0.9533, -1.02, 0.13, 0.32, -0.98, -1.04, 9.33
0.9567, -1.06, 0.11, 0.35, -0.61, -0.37, 9.39
0.9600, -1.00, 0.13, 0.31, 0.06, 1.89, 10.06
0.9633, -0.91, 0.13, 0.28, 0.61, 3.72, 10.18
0.9667, -0.94, 0.12, 0.33, 0.55, 5.30, 10.18
0.9700, -0.91, 0.10, 0.31, 0.55, 6.59, 10.61
0.9733, -0.92, 0.10, 0.29, 0.73, 8.11, 11.04
0.9767, -0.93, 0.10, 0.26, 1.16, 9.39, 11.95
0.9800, -0.92, 0.11, 0.24, 2.13, 10.43, 13.17
0.9833, -0.93, 0.12, 0.26, 3.17, 10.24, 13.84
0.9867, -0.96, 0.11, 0.25, 4.57, 10.00, 14.51
0.9900, -0.96, 0.14, 0.24, 6.28, 9.09, 14.82
0.9933, -0.96, 0.17, 0.23, 8.48, 7.80, 14.76
0.9967, -0.95, 0.18, 0.23, 10.30, 6.10, 14.51
1.0000, -0.91, 0.19, 0.21, 11.52, 4.15, 14.09
1.0033, -0.94, 0.21, 0.20, 12.56, 1.83, 13.23
1.0067, -0.96, 0.22, 0.20, 12.87, 0.24, 12.50
1.0100, -0.98, 0.23, 0.20, 12.74, -1.46, 11.89
1.0133, -0.98, 0.25, 0.20, 11.46, -3.78, 11.59
1.0167, -0.98, 0.24, 0.21, 9.45, -6.10, 11.77
1.0200, -0.96, 0.21, 0.22, 6.89, -8.60, 12.26
1.0233, -0.94, 0.19, 0.22, 4.57, -10.30, 12.74
