t, aX, aY, aZ, gX, gY, gZ
0.5033, -1.00, 0.07, 0.07, 1.71, -0.85, -0.18
0.5067, -1.00, 0.07, 0.09, 1.65, -0.73, -0.18
0.5100, -1.00, 0.07, 0.08, 1.71, -0.67, -0.24
0.5133, -1.00, 0.07, 0.09, 1.59, -0.61, -0.18
0.5167, -1.00, 0.06, 0.08, 1.65, -0.49, -0.18
0.5200, -1.00, 0.08, 0.09, 1.52, -0.37, 0.00
0.5233, -0.99, 0.07, 0.08, 1.52, -0.37, -0.06
0.5267, -0.99, 0.08, 0.08, 1.52, -0.30, 0.00
0.5300, -1.01, 0.08, 0.08, 1.59, -0.30, 0.00
0.5333, -0.99, 0.07, 0.09, 1.59, -0.24, -0.12
0.5367, -0.99, 0.07, 0.09, 1.71, -0.30, -0.18
0.5400, -1.00, 0.08, 0.08, 1.83, -0.24, -0.12
0.5433, -0.99, 0.08, 0.07, 1.71, -0.18, -0.24
0.5467, -1.00, 0.08, 0.08, 1.59, -0.06, -0.12
0.5500, -1.00, 0.08, 0.08, 1.71, 0.06, -0.12
0.5533, -1.00, 0.07, 0.08, 1.65, 0.12, -0.06
0.5567, -0.99, 0.07, 0.08, 1.71, 0.06, 0.00
0.5600, -1.00, 0.07, 0.08, 1.65, 0.18, 0.00
0.5633, -1.00, 0.08, 0.08, 1.71, 0.18, -0.06
0.5667, -1.00, 0.08, 0.08, 1.65, 0.30, -0.06
0.5700, -0.99, 0.08, 0.09, 1.83, 0.24, 0.00
0.5733, -1.00, 0.08, 0.09, 1.83, 0.24, -0.12
0.5767, -1.00, 0.08, 0.07, 1.77, 0.18, -0.12
0.5800, -0.99, 0.07, 0.08, 1.83, 0.37, -0.12
0.5833, -0.99, 0.07, 0.07, 1.77, 0.43, -0.12
0.5867, -1.00, 0.07, 0.10, 1.71, 0.37, 0.00
0.5900, -1.01, 0.08, 0.08, 1.77, 0.37, 0.06
0.5933, -1.00, 0.07, 0.08, 1.71, 0.43, -0.06
0.5967, -1.00, 0.07, 0.06, 1.89, 0.24, -0.12
0.6000, -1.00, 0.07, 0.08, 1.89, 0.24, -0.12
0.6033, -1.00, 0.07, 0.07, 1.83, 0.37, -0.06
0.6067, -1.00, 0.08, 0.10, 1.83, 0.30, -0.06
0.6100, -1.00, 0.07, 0.08, 1.77, 0.37, 0.00
0.6133, -1.00, 0.08, 0.07, 1.83, 0.18, -0.06
0.6167, -1.00, 0.08, 0.08, 1.65, 0.24, -0.12
0.6200, -1.01, 0.08, 0.08, 1.83, 0.18, -0.06
0.6233, -1.00, 0.08, 0.08, 1.77, 0.18, -0.06
