t, aX, aY, aZ, gX, gY, gZ
0.6033, -0.27, -0.17, 0.94, 4.82, 1.22, -0.37
0.6067, -0.27, -0.17, 0.94, 4.76, 1.59, -0.18
0.6100, -0.25, -0.17, 0.93, 4.70, 1.77, 0.12
0.6133, -0.27, -0.17, 0.94, 4.21, 2.07, 0.24
0.6167, -0.27, -0.17, 0.94, 3.84, 2.20, 0.49
0.6200, -0.27, -0.17, 0.93, 3.48, 2.50, 0.67
0.6233, -0.27, -0.18, 0.94, 2.87, 2.99, 0.79
0.6267, -0.27, -0.19, 0.95, 2.38, 3.41, 0.85
0.6300, -0.27, -0.17, 0.94, 1.83, 3.72, 0.98
0.6333, -0.27, -0.19, 0.95, 1.40, 3.66, 1.10
0.6367, -0.27, -0.19, 0.98, 1.10, 3.60, 1.04
0.6400, -0.26, -0.19, 0.97, 0.85, 3.84, 1.22
0.6433, -0.27, -0.21, 0.96, 0.98, 3.96, 1.04
0.6467, -0.27, -0.20, 0.97, 1.10, 4.02, 0.91
0.6500, -0.27, -0.21, 0.97, 1.28, 3.96, 0.49
0.6533, -0.27, -0.22, 0.98, 1.59, 3.90, 0.18
0.6567, -0.28, -0.21, 0.97, 2.01, 3.84, -0.30
0.6600, -0.26, -0.21, 0.98, 2.87, 3.66, -0.79
0.6633, -0.27, -0.22, 0.98, 3.48, 3.54, -1.34
0.6667, -0.27, -0.22, 0.96, 4.09, 3.54, -2.01
0.6700, -0.26, -0.20, 0.96, 4.70, 3.35, -2.62
0.6733, -0.27, -0.21, 0.97, 5.43, 3.23, -3.35
0.6767, -0.26, -0.20, 0.97, 5.91, 3.29, -4.09
0.6800, -0.26, -0.20, 0.97, 6.40, 3.35, -4.63
0.6833, -0.27, -0.19, 0.95, 6.71, 3.41, -5.00
0.6867, -0.27, -0.19, 0.96, 7.13, 3.48, -5.43
0.6900, -0.27, -0.18, 0.97, 7.56, 3.72, -5.79
0.6933, -0.27, -0.17, 0.96, 7.87, 3.90, -5.91
0.6967, -0.27, -0.17, 0.95, 8.05, 4.21, -6.10
0.7000, -0.27, -0.16, 0.96, 8.23, 4.45, -6.04
0.7033, -0.27, -0.15, 0.95, 8.35, 4.70, -5.98
0.7067, -0.27, -0.16, 0.95, 8.23, 4.88, -5.85
0.7100, -0.27, -0.15, 0.95, 8.23, 5.06, -5.67
0.7133, -0.27, -0.16, 0.94, 8.35, 5.37, -5.24
0.7167, -0.28, -0.14, 0.95, 8.29, 5.67, -4.76
0.7200, -0.28, -0.13, 0.95, 8.23, 6.22, -4.33
0.7233, -0.28, -0.14, 0.95, 7.93, 6.77, -3.96
0.7267, -0.28, -0.14, 0.94, 7.62, 7.26, -3.54
0.7300, -0.28, -0.15, 0.96, 7.32, 7.93, -3.11
0.7333, -0.28, -0.14, 0.94, 7.13, 8.48, -2.74
0.7367, -0.28, -0.14, 0.96, 7.07, 9.15, -2.44
0.7400, -0.29, -0.14, 0.95, 6.95, 9.63, -2.13
0.7433, -0.28, -0.13, 0.96, 7.07, 10.18, -1.89
0.7467, -0.28, -0.13, 0.94, 6.95, 10.73, -1.77
0.7500, -0.28, -0.14, 0.96, 7.07, 11.28, -1.46
0.7533, -0.28, -0.13, 0.94, 7.32, 12.32, -1.22
0.7567, -0.28, -0.14, 0.96, 7.38, 13.29, -1.10
0.7600, -0.28, -0.13, 0.95, 7.56, 14.39, -0.85
0.7633, -0.28, -0.16, 0.95, 7.62, 15.37, -0.61
0.7667, -0.29, -0.16, 0.94, 7.56, 16.16, -0.37
0.7700, -0.26, -0.12, 0.94, 7.99, 17.38, -0.18
0.7733, -0.28, -0.12, 0.96, 8.48, 17.93, 0.06
0.7767, -0.26, -0.14, 0.95, 8.66, 19.21, 0.37
0.7800, -0.28, -0.14, 0.95, 9.39, 20.37, 0.43
0.7833, -0.28, -0.15, 0.95, 10.12, 21.22, 0.37
0.7867, -0.27, -0.14, 0.94, 10.67, 22.44, 0.43
0.7900, -0.28, -0.15, 0.96, 11.46, 23.23, 0.37
0.7933, -0.27, -0.15, 0.94, 12.44, 24.57, 0.30
0.7967, -0.26, -0.15, 0.94, 13.41, 25.73, 0.24
0.8000, -0.80, 0.05, 0.74, 16.65, 80.73, -9.63
0.8033, -0.79, 0.03, 0.74, 16.52, 77.56, -7.87
0.8067, -0.81, 0.03, 0.77, 16.65, 74.21, -5.91
0.8100, -0.79, 0.03, 0.73, 16.77, 71.04, -4.15
0.8133, -0.81, 0.02, 0.76, 16.28, 67.62, -2.62
0.8167, -0.80, 0.01, 0.72, 15.79, 64.63, -1.34
0.8200, -0.79, -0.01, 0.71, 15.30, 61.83, -0.49
0.8233, -0.82, -0.02, 0.74, 14.57, 58.90, 0.18
0.8267, -0.80, -0.03, 0.71, 14.09, 56.52, 0.67
0.8300, -0.80, -0.05, 0.71, 13.41, 54.02, 0.85
0.8333, -0.81, -0.07, 0.69, 12.99, 52.26, 0.67
0.8367, -0.81, -0.07, 0.70, 12.87, 50.73, 0.30
0.8400, -0.81, -0.08, 0.70, 12.74, 49.63, -0.43
0.8433, -0.81, -0.08, 0.69, 12.87, 48.84, -1.28
0.8467, -0.80, -0.08, 0.68, 13.29, 48.35, -2.44
0.8500, -0.81, -0.09, 0.69, 13.78, 48.23, -3.78
0.8533, -0.80, -0.08, 0.71, 14.33, 48.11, -5.12
0.8567, -0.78, -0.07, 0.70, 15.18, 48.23, -6.34
0.8600, -0.80, -0.05, 0.71, 16.10, 48.54, -7.38
0.8633, -0.80, -0.05, 0.71, 17.07, 48.66, -8.48
0.8667, -0.80, -0.05, 0.72, 18.35, 48.54, -9.51
0.8700, -0.81, -0.04, 0.75, 19.63, 48.41, -10.30
