t, aX, aY, aZ, gX, gY, gZ
0.7267, -0.57, -0.18, 1.06, -0.61, 1.10, 2.93
0.7300, -0.60, 0.11, 0.89, 3.23, -1.16, 1.89
0.7333, -0.30, 0.11, 0.84, 3.60, 0.24, 1.16
0.7367, -0.78, 0.02, 0.89, 1.40, -0.12, 1.22
0.7400, -0.52, 0.10, 0.86, 0.49, 2.68, 1.65
0.7433, -0.56, -0.12, 0.90, -1.16, 8.60, 3.84
0.7467, -0.76, -0.71, 0.80, -0.30, 11.83, 5.06
0.7500, -0.57, -1.29, 1.27, -2.68, -1.95, 2.80
0.7533, -0.31, 0.09, -0.25, -7.01, -1.65, 4.15
0.7567, -0.36, 0.26, 1.03, -5.06, -4.21, 0.98
0.7600, -0.40, 0.19, 0.90, -6.52, -5.00, 0.91
0.7633, -0.55, 0.17, 0.88, -5.43, -5.30, 1.34
0.7667, -0.51, 0.10, 0.86, -4.76, -8.54, 0.55
0.7700, -0.54, 0.06, 0.92, -5.00, -11.28, 0.55
0.7733, -0.69, 0.09, 0.88, -4.76, -10.55, 1.52
0.7767, -0.37, 0.10, 0.81, -3.05, -12.01, 1.71
0.7800, -0.44, 0.11, 0.92, -3.84, -17.38, 0.61
0.7833, -0.45, 0.04, 0.85, -3.78, -15.30, 1.04
0.7867, -0.44, 0.05, 0.71, -2.74, -12.38, 2.07
0.7900, -0.43, 0.20, 0.82, -1.83, -9.09, 2.74
0.7933, -0.58, 0.06, 1.08, -2.13, -8.17, 2.99
0.7967, -0.54, 0.12, 1.16, -1.65, -8.05, 4.09
0.8000, -0.53, 0.11, 0.61, -1.28, -11.77, 5.00
0.8033, -0.31, -0.04, 0.93, -0.37, -12.56, 6.89
0.8067, -0.37, -0.06, 1.39, 0.06, -9.88, 5.98
0.8100, -0.99, 0.08, 1.13, 3.78, -13.17, -1.46
0.8133, -0.52, 0.26, 0.60, 7.74, -20.73, -6.89
0.8167, -0.49, 0.00, 0.79, 5.85, -20.73, -7.01
0.8200, -0.50, 0.10, 0.80, 3.96, -15.00, -5.98
0.8233, -0.57, 0.32, 0.77, 3.84, -10.30, -5.43
0.8267, -0.52, 0.19, 0.77, 4.21, -8.72, -4.57
0.8300, -0.52, 0.15, 0.71, 1.46, -7.93, -2.44
0.8333, -0.54, 0.14, 0.90, -0.98, -8.96, -0.98
0.8367, -0.62, 0.18, 0.86, -3.90, -11.59, -0.37
0.8400, -0.54, 0.22, 0.76, -5.85, -14.39, 0.55
0.8433, -0.26, 0.02, 0.71, -8.41, -16.04, 2.93
0.8467, -0.24, -0.03, 0.74, -10.43, -15.49, 3.72
0.8500, -0.26, 0.18, 0.80, -11.16, -12.20, 2.87
0.8533, -0.42, 0.01, 0.94, -11.04, -12.80, 1.71
0.8567, -0.35, 0.22, 0.83, -12.38, -13.90, -1.28
0.8600, -0.54, 0.15, 0.93, -13.11, -14.45, -2.01
0.8633, -0.57, -0.02, 1.02, -14.15, -12.62, -1.46
0.8667, -0.37, 0.10, 0.92, -15.73, -9.02, -2.74
0.8700, -0.34, 0.08, 0.80, -16.77, -6.28, -3.66
0.8733, -0.35, 0.11, 0.84, -17.62, -4.15, -4.70
0.8767, -0.41, 0.13, 0.86, -18.29, -2.32, -5.06
0.8800, -0.44, 0.09, 0.88, -18.35, -0.43, -4.15
0.8833, -0.47, 0.07, 0.90, -18.29, 1.65, -3.35
0.8867, -0.47, 0.10, 0.92, -17.68, 3.60, -2.68
0.8900, -0.45, 0.08, 0.93, -17.07, 5.00, -1.65
0.8933, -0.50, 0.05, 0.97, -16.52, 6.22, -0.73
0.8967, -0.44, 0.05, 0.93, -15.12, 7.01, 0.24
